"Survived","Pclass","Sex.female","Age","SibSp","Parch","Fare","FamilySize","Title","Embarked","FamilyType"
"0",1,0,0.35942478875644,0,0,0.0165095020935758,0,"Mr","Q","Medium"
"0",1,0,0.35942478875644,0,0,0.0169080739493279,0,"Mr","S","Medium"
"0",1,1,0.0980834272829763,0.375,0.111111111111111,0.0411356604308324,0.4,"Miss","S","Big"
"0",1,0,0.35942478875644,0,0,0.0154115752137493,0,"Mr","S","Medium"
"0",0.5,0,0.348615808593261,0,0,0.0204946350900944,0,"Mr","S","Medium"
"0",1,0,0.348615808593261,0,0,0.0154115752137493,0,"Mr","S","Medium"
"0",0,0,0.812100714017287,0,0,0.0518221487278102,0,"Mr","S","Medium"
"0",1,0,0.35942478875644,0,0,0.0157125535690724,0,"Mr","S","Medium"
"0",0,0,0.473881999248403,0,0,0,0,"Lady","S","Medium"
"0",1,0,0.19829637980709,0.5,0.111111111111111,0.0774648409655354,0.5,"Mr","S","Big"
"0",0,0,0.348615808593261,0,0,0.0919330774041378,0,"Mr","S","Medium"
"0",1,0,0.210822998872604,0.125,0.111111111111111,0.0141104586660296,0.2,"Mr","C","Medium"
"0",0,0,0.530367237753499,0,0,0.0507486202230909,0,"Mr","S","Medium"
"0",1,0,0.0855568082174621,0.5,0.111111111111111,0.0774648409655354,0.5,"Master","S","Big"
"0",1,1,0.599148189903545,0.125,0.333333333333333,0.067095531544952,0.4,"Mrs","S","Big"
"0",1,0,0.0871074333930476,0.375,0.111111111111111,0.049707687947515,0.4,"Master","S","Big"
"0",1,1,0.511461856444945,0,0.555555555555556,0.0774648409655354,0.5,"Mrs","S","Big"
"0",1,1,0.511461856444945,0,0.555555555555556,0.0774648409655354,0.5,"Mrs","S","Big"
"0",1,0,0.28598271326569,0,0,0.0180060008291544,0,"Mr","S","Medium"
"0",1,0,0.35942478875644,0.125,0.222222222222222,0.0457713517012109,0.3,"Mr","S","Small"
"0",0,0,0.799574094951773,0,0,0.0507486202230909,0,"Mr","S","Medium"
"0",1,0,0.35942478875644,0,0,0.0151269925664983,0,"Mr","Q","Medium"
"0",1,0,0.549041713641488,0,0,0.0157125535690724,0,"Mr","S","Medium"
"0",1,0,0.260929475134661,0,0,0.0152245860669273,0,"Mr","S","Medium"
"0",1,1,0.0871074333930476,0.375,0.111111111111111,0.049707687947515,0.4,"Miss","S","Big"
"0",0,0,0.724414380558687,0,0,0.0579705392548385,0,"Mr","C","Medium"
"0",0.5,0,0.386195665789803,0,0,0.0204946350900944,0,"Mr","S","Medium"
"0",1,0,0.260929475134661,0,0,0.014151057562208,0,"Mr","S","Medium"
"0",0,0,0.699361142427659,0,0,0.0518221487278102,0,"Mr","S","Medium"
"0",1,0,0.348615808593261,0,0,0.0154115752137493,0,"Mr","S","Medium"
"0",1,0,0.19829637980709,0.5,0.111111111111111,0.0774648409655354,0.5,"Mr","S","Big"
"0",0,0,0.724414380558687,0,0.222222222222222,0.221098075221947,0.2,"Mr","C","Medium"
"0",0,0,0.530367237753499,0,0,0.097593500429021,0,"Mr","S","Medium"
"0",1,0,0.0103970938243768,0.5,0.111111111111111,0.0774648409655354,0.5,"Master","S","Big"
"0",1,0,0.35942478875644,0,0,0.014151057562208,0,"Mr","S","Medium"
"0",1,0,0.19829637980709,0.5,0.111111111111111,0.0774648409655354,0.5,"Mr","S","Big"
"0",1,0,0.273456094200175,0,0,0.0139070738111355,0,"Mr","S","Medium"
"0",1,1,0.486408618313917,0,0.555555555555556,0.0568482139999047,0.5,"Mrs","Q","Big"
"0",0.5,0,0.223349617938118,0,0,0.0253743101115455,0,"Mr","S","Medium"
"0",1,0,0.235876237003633,0,0,0.0131751225579178,0,"Mr","Q","Medium"
"0",0.5,0,0.361142427658775,0,0,0.0204946350900944,0,"Mr","S","Medium"
"0",0.5,0,0.28598271326569,0,0,0.0204946350900944,0,"Dr","S","Medium"
"0",1,0,0.35942478875644,0,0,0.0302539851329965,0,"Mr","Q","Medium"
"0",0,0,0.611674808969059,0.125,0.111111111111111,0.216429787722425,0.2,"Mr","C","Medium"
"0",0.5,0,0.52398847551046,0,0,0.0253743101115455,0,"Rev","S","Medium"
"0",0,0,0.549041713641488,0.25,0,0.175668300772238,0.2,"Dr","Q","Medium"
"0",0,0,0.749467618689716,0,0,0.0518221487278102,0,"Col","S","Medium"
"0",0.5,0,0.423775522986346,0.125,0,0.0507486202230909,0.1,"Mr","S","Medium"
"0",1,0,0.35942478875644,0,0,0.0157125535690724,0,"Mr","S","Medium"
"0",0,0,0.76199423775523,0,0,0.0653876452874441,0,"Mr","S","Medium"
"0",0.5,0,0.411900040060376,0,0,0,0,"Mr","S","Medium"
"0",0.5,0,0.398722284855318,0,0,0.0204946350900944,0,"Mr","S","Medium"
"0",1,0,0.586621570838031,0,0,0.014151057562208,0,"Mr","S","Medium"
"0",1,0,0.348615808593261,0.25,0,0.0154685698179998,0.2,"Mr","S","Medium"
"0",0.5,0,0.52398847551046,0.125,0,0.0527004902316714,0.1,"Mr","S","Medium"
"0",0.5,0,0.398722284855318,0.25,0,0.143462445630661,0.2,"Mr","S","Medium"
"0",1,0,0.235876237003633,0,0,0.0283021151244161,0,"Mr","S","Medium"
"0",1,0,0.398722284855318,0,0,0.0154115752137493,0,"Mr","S","Medium"
"0",0,0,0.348615808593261,0,0,0.0919330774041378,0,"Mr","S","Medium"
"0",1,0,0.35942478875644,0,0,0.0135654965596339,0,"Mr","Q","Medium"
"0",0,0,0.561568332707002,0,0,0.0692913853046049,0,"Mr","S","Medium"
"0",0.5,0,0.235876237003633,0,0,0.0204946350900944,0,"Mr","S","Medium"
"0",0.5,0,0.599148189903545,0,0,0.0253743101115455,0,"Mr","S","Medium"
"0",1,0,0.373669046724289,0,0,0.0154115752137493,0,"Mr","S","Medium"
"0",0.5,0,0.19829637980709,0,0,0.0204946350900944,0,"Mr","S","Medium"
